2026-03-14 19:35:59,208 | INFO     | client          | ✅ Binance Futures Testnet client initialised
2026-03-14 19:36:04,803 | INFO     | client          | ✅ Binance Futures Testnet client initialised
2026-03-14 19:36:08,254 | INFO     | client          | ✅ Binance Futures Testnet client initialised
2026-03-14 19:36:13,570 | INFO     | client          | ✅ Binance Futures Testnet client initialised
2026-03-14 19:36:13,571 | INFO     | orders          | Placing MARKET BUY order – BTCUSDT qty=0.002
2026-03-14 19:36:14,305 | INFO     | orders          | ✅ Order placed – id=12810014682 status=NEW
2026-03-14 19:36:14,725 | INFO     | client          | ✅ Binance Futures Testnet client initialised
2026-03-14 19:37:15,271 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:20,938 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:24,252 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:27,365 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:27,366 | INFO     | orders          | Placing MARKET BUY order – BTCUSDT qty=0.002
2026-03-14 19:37:27,366 | INFO     | orders          | Placing MARKET BUY: 0.002 BTCUSDT @ market
2026-03-14 19:37:28,079 | INFO     | orders          | ✅ Order placed: #12810037303 - NEW
2026-03-14 19:37:28,079 | INFO     | orders          | ✅ Order placed – id=12810037303 status=NEW
2026-03-14 19:37:28,477 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:54,033 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:37:59,283 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:38:01,993 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:38:05,206 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
2026-03-14 19:38:05,206 | INFO     | orders          | 🛎️  MARKET BUY: 0.002 BTCUSDT
2026-03-14 19:38:05,206 | INFO     | orders          | Placing MARKET BUY: 0.002 BTCUSDT @ market
2026-03-14 19:38:05,936 | INFO     | orders          | ✅ Order placed: #12810048191 - NEW
2026-03-14 19:38:05,936 | INFO     | orders          | ✅ Order accepted: #12810048191 - NEW
2026-03-14 19:38:06,382 | INFO     | orders          | ✅ Connected to Binance Futures Testnet
